,layer,method,number,accuracy,maxdepth
478,model.output_proj.layers.2,SAE,6,0.7939698492462312,1
479,model.output_proj.layers.2,baseline,1,0.7929292929292929,1
480,model.blocks.0.activation,SAE,40,0.6852791878172588,1
481,model.node_s2s,SAE,12,0.84375,1
482,model.edge_s2s,SAE,0,0.8489583333333334,1
483,model.output_proj.layers.2,SAE,10,0.935,1
484,model.edge_s2s,SAE,30,0.8526315789473684,1
485,model.blocks.0.activation,SOM,20,0.9375,1
486,model.node_s2s,SAE,21,0.8481675392670157,1
487,model.blocks.2.activation,SAE,34,0.898989898989899,1
488,model.edge_s2s,baseline,57,0.8535353535353535,1
