target,band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,volume,cbm,vbm
1,0.0,7.288526,9.762109,0.0,6.973904,0.104558,-7.634084,-0.1046056,0.0,1.0,1.0,0.0,3.0,3.0,2.0,2.0,0.0,2.424185,2.424185,0.08277532,-7.513751,29.28633,0.0,0.0
1,0.0,11.13071,9.984168,0.0,7.429183,0.09480538,-9.913815,-0.3876384,0.0,1.0,1.0,0.0,3.0,8.0,4.0,2.0,0.0,7.273201,3.636601,0.09105919,-9.733315,79.87334,0.0,0.0
1,0.0,4.026483,11.19193,0.0,-1.21048,0.1508126,-9.110287,-0.1971331,0.0,1.0,1.0,0.0,3.0,9.0,1.0,1.0,1.0,0.9554661,0.9554661,0.009485666,-3.621124,100.7274,0.0,0.0
1,3.5775,3.208497,15.00099,0.0,-0.2724364,0.234413,-7.484771,0.234413,0.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,9.95e-05,3.316667e-05,3.684941e-07,-7.304271,270.0179,3.2451,-0.3324
1,0.0,1.67904,75.04487,0.0,-3.57299,0.2284291,-13.71093,-0.3556271,0.0,1.0,1.0,0.0,2.0,72.0,48.0,3.0,0.0,23.62623,0.9844261,0.004372611,-3.520333,5403.231,-3.5943,-3.553
1,0.0,2.411486,8.614127,0.0,5.625378,0.3111322,-8.694936,0.3111322,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0002841,0.00014205,4.122588e-06,-8.604686,68.91302,0.0,0.0
1,4.6143,2.144018,17.21457,0.0,-1.777681,0.1454653,-7.871603,0.1197002,0.0,0.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,0.0057252,0.0028626,1.511722e-05,-7.674694,378.7205,2.7743,-1.84
1,1.6963,5.829057,41.66952,0.0,2.033,0.0,-2.360581,-0.6626881,0.0,0.0,0.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,-32.11162,666.7123,3.6826,1.9863
1,0.0,8.131095,12.29682,0.0,4.319988,0.6633636,-15.38124,0.6633636,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0019036,0.0009518,3.870106e-05,-5.914325,49.18728,0.0,0.0
1,4.8638,1.100132,19.63532,0.0,-4.635246,0.5120008,-8.271471,0.5120008,1.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0006102,7.6275e-05,1.942291e-06,-8.090971,314.1651,0.1162,-4.7476
