band_gap,density,density_atomic,deprecated,efermi,energy_above_hull,energy_per_atom,formation_energy_per_atom,homogeneous_poisson,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,uncorrected_energy_per_atom,universal_anisotropy,volume,target
0.0,9.649178,11.92955,0.0,5.710028,1.202614,-9.530486,0.1324065,0.381,0.0,1.0,1.0,0.0,3.0,6.0,1.0,1.0,1.0,0.8072406,0.8072406,0.01127788,-9.349986,5.486,71.57732,0
0.0,6.849329,28.53674,0.0,1.678195,1.642901,-3.947678,1.193176,0.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.001074,0.001074,7.527139e-06,-3.947678,0.0,142.6837,0
0.0,6.082237,29.80199,0.0,1.609336,1.824207,-3.824309,1.46004,0.311,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,6.44e-05,6.44e-05,4.32186e-07,-3.824309,11.561,149.0099,0
0.0,6.020003,29.83282,0.0,1.713198,1.87665,-3.890211,1.445269,0.313,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,6.6e-06,6.6e-06,4.424656e-08,-3.890211,10.86,149.1641,0
0.0,6.684066,28.9926,0.0,1.68095,1.629007,-4.00539,1.186593,0.302,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0013796,0.0013796,9.516911e-06,-4.00539,7.41,144.963,0
0.0,3.019897,8.249215,0.0,2.8544,3.07493,-4.271405,1.749959,0.59,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0394479,0.0394479,0.001195505,-3.756155,-7.538,32.99686,0
0.0,6.524338,29.34679,0.0,1.639983,1.618685,-4.013241,1.196719,0.303,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,7.2e-06,7.2e-06,4.906841e-08,-4.013241,7.797,146.7339,0
0.0,10.24809,18.12982,0.0,5.488276,1.345084,-3.858187,0.972036,2.224,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0686475,0.0686475,0.001262147,-3.680187,31.167,54.38946,0
0.0,4.144495,19.75644,0.0,2.158881,2.037093,-6.031599,1.916962,0.0,0.0,1.0,1.0,0.0,3.0,5.0,4.0,2.0,1.0,11.24265,11.24265,0.1138125,-6.031599,0.0,98.7822,0
0.0,2.254861,38.35177,0.0,0.1233915,2.120729,-2.626518,2.103167,0.0,0.0,1.0,1.0,0.0,2.0,11.0,5.0,2.0,1.0,14.0,14.0,0.03318563,-2.626518,0.0,421.8694,0
0.0,6.346365,29.78823,0.0,1.677963,1.606715,-4.026678,1.1957,0.308,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,3.56e-05,3.56e-05,2.390206e-07,-4.026678,8.079,148.9411,0
