band_gap,density,density_atomic,deprecated,efermi,is_gap_direct,is_magnetic,is_metal,is_stable,nelements,nsites,num_magnetic_sites,num_unique_magnetic_sites,theoretical,total_magnetization,total_magnetization_normalized_formula_units,total_magnetization_normalized_vol,volume,cbm,vbm,target,energy_above_hull,energy_per_atom,formation_energy_per_atom,uncorrected_energy_per_atom
7.4848,0.03997629,41.86791,0.0,-6.662299,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,0.02388464,83.73582,0.7821,-6.7027,1,2.330814,-1.124298,2.330814,-1.124298
0.0,6.541779,25.41406,0.0,6.281782,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0056244,0.0056244,0.0001106553,50.82812,0.0,0.0,1,0.3256157,-19.35445,0.2901477,-3.649771
0.0,11.28661,30.43758,0.0,5.590189,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0125937,0.0125937,0.0001034387,121.7503,0.0,0.0,1,0.09012483,-2.86766,0.09012483,-2.86766
1.2632,3.609742,15.5164,0.0,7.285664,0.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,0.0,0.0003501,8.7525e-05,8.058292e-07,434.4593,8.4853,7.2221,1,0.004502097,-9.810634,-0.3018116,-5.978462
6.5621,0.7763915,13.73842,0.0,-4.054064,1.0,0.0,0.0,1.0,2.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,274.7684,2.4468,-4.1153,1,0.0,-4.52706,-0.008217421,-4.52706
0.2886,2.738097,17.94972,0.0,7.00545,0.0,0.0,0.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0019418,0.00048545,5.408997e-06,358.9945,7.2119,6.9233,1,0.007223912,-8.875528,-0.37311,-5.393918
0.0,6.51955,25.04769,0.0,8.15941,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0126787,0.00633935,6.327279e-05,200.3815,0.0,0.0,1,0.3290015,-21.14418,0.3290015,-3.980079
3.7464,1.678586,15.51787,0.0,-1.44966,1.0,0.0,0.0,1.0,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.286,2.2844,-1.462,1,0.0,-5.944699,-0.1013916,-5.944699
0.0,3.753104,18.31291,0.0,6.989814,0.0,0.0,1.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5032,0.0,0.0,1,0.04729793,-10.17711,0.04244298,-10.17711
0.0,11.33786,29.9339,0.0,6.036309,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1e-07,1e-07,3.340694e-09,29.9339,0.0,0.0,1,0.00979029,-53.16951,0.00979029,-53.16951
0.5135,2.28276,19.61744,0.0,4.845958,0.0,0.0,0.0,0.0,2.0,24.0,0.0,0.0,1.0,0.0001668,4.17e-05,3.542765e-07,470.8187,5.2989,4.7854,1,0.09630661,-8.049955,-0.1504408,-4.936823
0.0,0.5707186,24.72949,0.0,-2.761029,0.0,1.0,1.0,0.0,2.0,16.0,2.0,4.0,1.0,2.000738,0.5001845,0.005056559,395.6718,0.0,0.0,1,0.02929875,-4.812555,0.02929875,-3.734321
0.0,5.968362,19.60726,0.0,6.699176,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.001864,0.001864,2.37667e-05,78.42905,0.0,0.0,1,0.7991512,-3.518223,0.5139702,-3.412723
1.4262,2.275615,21.89934,0.0,3.485436,1.0,0.0,0.0,1.0,2.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,525.5841,4.8417,3.4155,1,0.0,-9.068363,-0.1423907,-9.068363
0.0,5.196471,18.95245,0.0,6.405382,0.0,0.0,1.0,0.0,2.0,12.0,0.0,0.0,0.0,3.93e-05,9.825e-06,1.728009e-07,227.4294,0.0,0.0,1,0.1177956,-12.72108,0.008531522,-4.867808
0.0,5.060294,16.75078,0.0,5.608847,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0004161,0.0004161,6.210158e-06,67.00313,0.0,0.0,1,1.90744,-9.06807,1.462408,-2.52108
16.5864,0.3560491,18.66731,0.0,-14.01728,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,18.66731,2.5054,-14.081,1,0.00356659,-0.310334,0.00356659,-0.310334
0.0,2.272603,7.899351,0.0,6.005475,0.0,0.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,94.79221,0.0,0.0,1,0.2915357,-7.054818,0.2915357,-6.387856
0.0,4.093893,15.1766,0.0,7.80128,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,2.41e-05,2.41e-05,3.969929e-07,60.70638,0.0,0.0,1,0.5216734,-8.286301,0.5216734,-3.915501
0.8487,2.630581,21.4212,0.0,4.837096,0.0,0.0,0.0,1.0,2.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,942.5326,5.7565,4.9078,1,0.0,-9.233567,-0.06378907,-9.233567
0.0,6.391578,28.82152,0.0,4.365828,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0002575,0.0002575,2.978099e-06,86.46456,0.0,0.0,1,0.7406104,-2.750094,0.6962645,-2.750094
0.0,3.205431,21.07916,0.0,6.547396,0.0,0.0,1.0,0.0,2.0,52.0,0.0,0.0,1.0,0.0004347,0.00021735,3.965819e-07,1096.117,0.0,0.0,1,0.0859477,-5.043101,-0.0223615,-5.105909
1.0233,3.39664,15.8658,0.0,7.444908,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,0.0,1e-06,1e-06,7.003183e-09,142.7922,8.2995,7.2762,1,0.0,-6.041138,-0.2818951,-9.757435
4.4871,1.16195,14.97116,0.0,-1.688483,0.0,0.0,0.0,1.0,3.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.923,2.7609,-1.7262,1,0.0,-5.284512,-0.1386008,-5.284512
0.0,9.767068,26.10387,0.0,4.86921,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0008502,0.0008502,8.142471e-06,104.4155,0.0,0.0,1,0.408598,-40.33966,0.408598,-2.166816
0.0,7.125155,22.37108,0.0,7.296259,0.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0013603,0.0013603,1.520154e-05,89.48433,0.0,0.0,1,0.684103,-23.72073,0.4962355,-3.742636
0.6428,4.925401,19.00268,0.0,5.071133,0.0,1.0,0.0,1.0,4.0,32.0,8.0,1.0,0.0,55.99901,13.99975,0.09209066,608.0856,5.6625,5.0197,0,0.0,-8.724826,-3.155401,-8.313701
0.9888,5.063772,24.93942,0.0,4.401987,0.0,1.0,0.0,1.0,3.0,22.0,8.0,8.0,0.0,56.0,28.0,0.1020655,548.6672,5.2401,4.2513,0,0.0,-8.080058,-2.880428,-20.69591
0.8506,5.268639,20.97132,0.0,4.689248,1.0,1.0,0.0,0.0,4.0,32.0,10.0,3.0,0.0,70.0,35.0,0.1043091,671.0822,5.555,4.7044,0,0.00554672,-8.527357,-3.041973,-19.32873
0.0,6.399227,20.37132,0.0,2.305606,0.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,2.96e-05,2.96e-05,2.906047e-07,101.8566,0.0,0.0,0,1.095172,-5.108779,-1.011096,-4.696579
1.2144,4.871435,25.32343,0.0,4.342223,0.0,1.0,0.0,1.0,2.0,12.0,4.0,1.0,0.0,28.0,7.0,0.09214128,303.8812,5.4902,4.2758,0,0.0,-19.61538,-2.673461,-19.61538
0.0,3.94863,15.42516,0.0,-0.7470135,0.0,1.0,1.0,0.0,3.0,5.0,3.0,1.0,1.0,2.103843,2.103843,0.02727808,77.12578,0.0,0.0,0,0.4743964,-4.037286,-0.6055818,-3.625086
2.3295,2.535442,11.16649,0.0,0.3722556,1.0,1.0,0.0,0.0,3.0,62.0,8.0,2.0,1.0,40.00008,20.00004,0.05777666,692.3224,2.608,0.2785,0,0.09938454,-5.953801,-1.922045,-5.374608
1.2535,6.075568,13.15642,0.0,1.974274,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0006841,0.000171025,4.33312e-06,157.877,3.1735,1.92,0,0.05581009,-11.45264,-0.7772131,-4.149844
0.0,2.033704,30.74211,0.0,-0.4671133,0.0,0.0,1.0,0.0,3.0,52.0,0.0,0.0,1.0,0.0046354,0.00115885,2.899681e-06,1598.59,0.0,0.0,0,0.08509315,-8.565059,-1.435625,-4.373781
0.471,4.808764,19.02903,0.0,4.734864,1.0,1.0,0.0,1.0,5.0,48.0,12.0,3.0,0.0,84.00033,21.00008,0.09196513,913.3933,5.2059,4.7349,0,0.0,-8.324046,-3.027942,-7.941546
1.6343,2.8264,10.46324,0.0,0.8251152,1.0,1.0,0.0,0.0,3.0,28.0,8.0,4.0,1.0,19.99996,4.999991,0.06826609,292.9707,2.3913,0.757,0,0.04570842,-6.117245,-1.966734,-5.500531
0.0946,4.732865,12.877,0.0,0.5675529,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,6.24e-05,6.24e-05,1.211462e-06,51.508,0.6556,0.561,0,0.04627085,-4.71988,-1.055783,-4.37638
0.0,3.913721,11.71947,0.0,5.12679,0.0,1.0,1.0,0.0,3.0,12.0,4.0,1.0,1.0,4.001255,1.000314,0.02845161,140.6337,0.0,0.0,0,0.04340324,-8.341851,-3.422106,-7.958851
